body,section,title,url
"
  Many Americans probably don’t know this, but the Philippines starts celebrating Christmas in September. That is when the carols start playing on the radio and shops begin putting up sales displays featuring stockings and snow (tropically-adapted snow, of course, since September brings 80 degree weather). The festivities build up to December 24, when the classic Filipino tradition is for large families to gather, exchange kisses and hugs, and eat. This get-together is called a “Noche Buena,” though “Food Fest” or “Guess Which Cousin is Which” would be more apt.
There are only three things that I can be certain will make an appearance at our family’s annual Christmas Eve gathering:1) Our cook’s revered lasagna, with the words “Merry X-Mas” written in ketchup above the topmost layer of cheese. 
2) My cousin’s dogs, aptly named Peewee and Poo (you can guess why).3) Bottles upon bottles of all kinds of wine.Everything else—including which relatives from our gigantic extended family actually show up—is always a gamble.
 
This year, my family thought releasing wish lanterns into the sky at midnight would add a little more spice to the event. My cousin had bought some paper lanterns for 50 pesos apiece (a little over a dollar), which could float away with the help of a “small” flame. Of course, small flames can eventually become big flames (standard science here), so I was a little worried about the fire hazard. See, my family doesn’t have a very good track record with fire, and the fact that the instructions were in Japanese didn’t help. But mother persisted, so I obliged.
 
The first lantern we sent off was pretty. I thought to myself that maybe we could pull this off without a hitch—maybe we could even release many at the same time!
 
The second lantern we sent off, however, was not as well-formed as the first one was. In fact, its top-left corner was sagging as it floated away, and just before it cleared our fence—our bamboo fence, I might add—the paper frame caught fire. In a blink, the entire lantern was ablaze. I heard several gasps. An officer on patrol started barking into his walkie-talkie, probably for a fire truck. My grandmother turned her face away so she didn’t have to watch what we all expected would happen next.
 
But, miraculously, the lantern dropped to the ground just inches from anything flammable, missing the bamboo fence, the tarp covering our dining area, and a bunch of bushes. No one moved as what was left of it floated to the ground. Everyone just watched the flames die out, mouths hanging open. It was a regular Christmas miracle.
My little brother laughed first, then my uncle laughed, and, finally, I laughed. Both humored and relieved, everyone turned to each other and started wishing one another a Merry Christmas. Uncles were drunk, I had gained a few pounds, and we were probably going to be fined by the village police for setting fire hazards into the sky, but it was Christmas with my crazy family and the “noche” couldn’t be anymore “buena.”
",Magazine,"Noche Buena |
    
        Magazine |
    
    The Harvard Crimson","/article/2013/1/5/noche-buena/
"
"
While your fall semester classes are now a distant memory, here’s an unfortunate newsflash to sap the last bit of holiday spirit from your break: Grades are up.  Instead of regretting your multiple choice answers on that make-or-break final, or waiting anxiously to see if your last class’ results are in, take a break from your Student Record to see if some of your favorite fall sports made the grade this semester.
<a name=""jump"">Football: B+/A-
 The Crimson got off to a hot start, winning its first five games of the season by an average of 27 points. But then came the midterm exam at Princeton, where Harvard saw its nation-best 14-game win streak come to an end with a 39-34 loss to the Tigers. The Crimson bounced back with a win at Dartmouth though, and then followed that up by routing Columbia, 69-0.  But Harvard failed to deliver when it mattered the most, losing 30-21 at Penn in the de-facto Ivy League championship game. It wasn't last year’s Ivy League championship season, but even with some hiccups on the road, the Crimson turned in a season full of solid performances and ended its term with a climactic fourth quarter finish to beat out rival Yale in the final test of the semester.  It was valiant effort, even without the Ivy Champ rings to show for it.
&nbsp;
Men’s Soccer: C
To say the men’s soccer team had a disappointing season would be a bit of an understatement.  The Crimson went a dismal 3-11-3 on the season and failed to pick up a win against a conference foe, going 0-6-1 in Ivy League play.  If anything though, it was a season of near misses.  The Crimson fell just one goal short in seven of its losses, and the team went into overtime six times, only to come out with three ties and three losses.  Here’s to hoping the men’s team makes the grade by the time next season rolls around.
&nbsp;
Cross Country: A
An appearance at the NCAA Championships for the first time in nearly three decades capped what the director of Harvard Cross Country/Track called a “historic season” for the women’s team.  On the men’s side, the Crimson finished sixth in the Northeast regional, its best finish since 2006, and also sent two runners to NCAAs.
&nbsp;
Women’s Volleyball: B
The Crimson got off to a sluggish start, losing its first three matchups, then had a five-game losing streak to finish its non-conference slate with a 2-8 record.  But Harvard picked up some steam in the second half of the semester, going 7-7 against Ivy opponents to finish fourth in the league and only two wins away from a second-place finish.  It was a bumpy start, but we all know the second half of the semester counts more than the first, and some fine finishes down the stretch helped salvage what could’ve been a down season.
&nbsp;
Field Hockey: C+
The Crimson went 3-13 this year, and 1-6 against Ivy opponents.  It was a tough first year for head coach Tjerk van Herwaarden, as Harvard saw its season end with an eight-game losing streak.  The Crimson finished tied with Brown at the bottom of the Ivy League standings, a sizeable drop from last year’s fifth-place finish and 8-9 overall record.
&nbsp;
Men’s Water Polo: B
It was a year of fresh faces and fresh talent for the men’s water polo team.  With the bulk of its roster comprised of freshmen and sophomores, the young team got off to sluggish start, going 3-5 in the opening weeks.  But the Crimson hit its stride in the middle of the season, riding a nine-game win streak.  Harvard finished off the year with a 15-19 record after some tough losses to top-ranked teams on a California road trip and some close losses to Northeast opponents late in the season.  Look for Harvard to come in strong next year, when the underclassmen have a full season of collegiate play under their belts (or speedos, so to speak).
&nbsp;
",Sports,Grades Are in for Fall Sports,"/blog/the-back-page/article/2013/1/6/harvard-fall-sports-grades/
"
"
While you may still be in holiday mode, Harvard athletes are in the midst of a busy January filled with plenty of activity. Read on for a preview of five upcoming games that are sure to be exciting and crucial to rest of the season.
<a name=""jump"">5. Men’s Squash at Princeton
On January 13, the Harvard men’s squash team (6-0, 1-0 Ivy) will visit Princeton hoping to defeat the defending national champions. The Tigers dismantled Trinity College at last year’s CSA national tournament to break the Bantams 13-year long hold on the title. Princeton was also victorious against the Crimson last season, halting a 10-game win streak last January as the Tigers won, 5-4. One can expect an exciting match at the No. 1 position between Harvard junior Ali Farag and Princeton senior Todd Harrity. Farag captured the CSA individual title in 2012 while Harrity won it in 2011, becoming the first American in over 21 years to do so. This year, both teams enter the contest undefeated; only one squad can leave retaining a perfect record in this critical conference matchup.
4. Women’s Squash at Princeton
Last season, a showdown with Princeton saw the No. 1 Harvard women’s squash team edge the Tigers, 5-4. The contest was one of just two 5-4 matches for the Crimson all season. On the verge of losing an undefeated record, then-freshman Haley Mendez was down, 2-0, in the No. 4 position but came from behind, taking the final three games to win the tie-breaking match. This year, Harvard (3-0, 1-0 Ivy) will arrive at Princeton Jan. 13 hoping to prevail once again over a talented Tigers squad led by co-captain Julie Cerullo, who is undefeated at the No. 1 position this season. Cerullo lost, 3-0, at No. 1 to then-freshman Amanda Sobhy last year and fell to her again in the national individual semifinals as Sohby ultimately took the top prize. During a November scrimmage, the Crimson yet again squeezed out a win over Princeton, 5-4. Can they do it again next week?
3. Women’s Basketball vs. Dartmouth
After going through an up-and-down slate of challenging non-conference opponents, the Harvard women’s basketball team will finally open Ivy League play at home against Dartmouth Jan. 12. The Crimson (9-5) is coming off two strong wins against Massachusetts and Rhode Island and a difficult tournament in San Diego, where it fell to Oklahoma State and SMU. Last year, Harvard downed the Big Green in both matchups. The first game saw then-sophomore Christine Clark notch her second career double-double with 17 points, including a perfect 7-for-7 at the charity stripe, and 10 rebounds as the Crimson won, 71-63. During the second meeting, Emma Golen notched a career-high 21 points as the team closed out the regular season with a victory, 74-69. Harvard would go on to win its first game in the WNIT in program history. This year’s squad has seen strong performances by Clark, the leading scorer with 16.6 points per game, and Golen, who stands atop the Ivy League in three-point percentage.
2. Men’s Hockey at Yale
Earlier this season, the Bulldogs came to Cambridge and dealt the Harvard men’s hockey team its first loss of the season, 5-1. Last season, the Crimson met Yale during the quarterfinals of the ECAC tournament, dropping the first game but taking the next two to make it to the tourney finals. The Crimson (4-7-1, 3-5 ECAC), which hasn’t won a game since beating Cornell Nov. 16, will travel to New Haven Jan. 18 hoping to get back on track. The squad has been plagued by a lack of offensive pressure, converting on just five of its 49 power play attempts this season. On the other side, the Yale team (7-4-3, 3-3-1 ECAC) registers over 35 shots per game, six more than Harvard does. The game, which will be broadcast on NBC Sports Network, will be another important ECAC matchup. After recent conference losses to Princeton and Quinnipiac, the Crimson will look to regain momentum at the midway point of the season.
1. Men’s Basketball at Dartmouth
With 2011-2012 as a banner season in the history of Harvard basketball, all eyes are on this new Crimson team as it opens it Ivy League season in Hanover Jan. 12. The squad, which went 8-5 in non-conference play, has already topped major D1 teams California and Boston College thanks to major improvements by sophomore wing Wesley Saunders, who went from an average of 3.3 points per game last season to leading the Ivy League with 16.2 points per game this season, and the efforts of rookie point guard Siyani Chambers. Chambers, who was named to the Bob Cousy Award watch list, ranks first in the Ivy League in assists and recorded his first career double-double Jan. 5 against Rice. The Crimson, which beat Dartmouth in both contests last season, will meet a Big Green team that has lost its last seven games and whose top two scorers both average under 11 points per game. Harvard will need to contain 6’9” sophomore forward Gabas Maldunas, who put up 15 points on the Crimson during their first meeting in 2012, as it seeks its first conference win.
&nbsp;
",Sports,Winter Break Schedules Still Include Tough Road Contests,"/blog/the-back-page/article/2013/1/6/harvard-sports-winter-break-schedules/
"
"
While the Crimson’s football season came to a close in November with a victory over Yale, senior tight end Kyle Juszczyk will suit up once again in a couple weeks, having accepted an invitation to play in the 2013 Senior Bowl. The event, which pits the nation’s top senior prospects against each other in a pre-draft showdown, will be held Jan. 26 at Ladd-Peebles Stadium in Mobile, Alabama.
Juszczyk declined prior invitations to play in both the CDS All-Star Game and the East-West Shrine Game, both of which are also held in January.
Juszczyk was a key piece of the Crimson’s offense for all four of his years at Harvard. As a freshman, he appeared in all of the Crimson’s contests, recording 11 catches for 124 yards. Juszczyk was named honorable mention All-Ivy League the following year.
But his last two seasons for Harvard were particularly impressive. As a junior, Juszczyk recorded a league-best 37 receptions for 512 yards and was the recipient of the College Football Performance Award as the FCS’s best tight end. The two-time All-American finished his senior season with a team-high 52 receptions for 706 yards, including a season-best 15 catches and 192 yards in the Crimson’s contest against Princeton. Juszczyk averaged a team-best 70.6 yards per game and led the Harvard offense with eight touchdown receptions.
The Senior Bowl, which pits North against South, gives NFL coaches and executives the opportunity to watch the nation’s top prospects in action. Annually, 800 NFL coaches and general managers scout the practices and game, with entire NFL coaching staffs at the helm on both sides of the field. This year, head coach Dennis Allen and his Oakland Raiders staff will coach the North squad, while Detroit Lions head coach Jim Schwartz and his assistants will lead the South.
The Senior Bowl will be televised by NFL Network. Kickoff is set for 4:00pm EST.
",Sports,TE Juszczyk Headed to NFL Pre-Draft Showcase,"/blog/the-back-page/article/2013/1/6/juszczyk-senior-bowl-harvard/
"
"
After failing to break double digits in scoring on Friday against the Milwaukee Bucks, Jeremy Lin ’10 put up 20 points during Saturday night’s contest against the Cleveland Cavaliers (8-27).
On the way to a road victory, 112-104, the Houston Rockets guard also contributed four rebounds and five assists. In the win, the Rockets (20-14) retained their position as first among all teams in points per game, with 106.2, and extended their winning streak to four games.
<a name=""jump"">Lin had a standout second quarter that saw him score 14 of his 20 points and drill all three of his attempts from behind the arc. Lin finished the game shooting 60 percent on treys, much better than the 26 percent he was shooting coming in. His performance helped the Rockets, who trailed 26-20 at the close of the first frame, regain the lead heading into the locker room.
“Sometimes all it takes is one and for me I’m glad I was able to get some to drop tonight,” Lin said in a postgame interview. “It felt good.”
A big fourth quarter from Houston’s James Harden, who had a team-high 29 points on the night and 16 in the final stanza, helped the Rockets to seal the win. Harden and Lin had to contend with the Cavaliers’ main scoring threat of Kyrie Irving, who finished with a game-high 30 points. Irving had eight turnovers, many of which were caused by defensive pressure from Harden and Lin.
“He’s a heckuva player,” Lin said of the Cleveland point guard. “I tried to make it difficult for him, but he’s one heckuva player and he’s tough to stop.”
With the win, Houston is now 14-2 versus the Eastern Conference. The Rockets remain in sixth place in the West, two games behind the Memphis Grizzlies.
",Sports,"Lin &#39;10 Scores 20 in Win Over Irving, Cavs","/blog/the-back-page/article/2013/1/6/lin-rockets-cavaliers-irving/
"
"
The coast may have been different, but the result was the same for Laurent Rivard.After shooting a combined 8 of 16 from deep during the Harvard men’s basketball team’s visit to California last week, the junior co-captain continued to make it rain from beyond the arc at Lavietes Pavilion on Saturday. Rivard went five of seven from three-point range, helping the Harvard men’s basketball team past Rice with a season-high 21 points.After the Owls pulled within three, 13-10, less than seven minutes into the contest, Rivard played an instrumental role in the Crimson’s run. The junior put a stop to the Crimson’s 4:36 scoring drought, knocking down his first triple of the night with 10:52 to go. It wasn’t long before he added No. 2 and No. 3, as Rivard drilled back-to-back three-pointers less than three minutes later to extend Harvard’s lead to 14 with 8:30 to play.In the first half alone Rivard recorded 15 points—more than he totaled in all but four games so far this season.Before it was all said and done, the junior added one more triple to give him five on the day—matching a season high.
“We need him to shoot,” Harvard coach Tommy Amaker said. “He has a green light, and he’s the only one on our team who has that.”The Crimson’s leading returning scorer entering the 2012-13 season, Rivard struggled at times early this season. Through Harvard’s first 10 contests, Rivard was shooting 39.3 percent from deep—down from his clip of 41.0 percent a season ago—and averaging 2.4 made three-pointers per contest.But in the Crimson’s past three contests, Rivard has shot a combined 13 of 23 (56.5 percent) from three-point range and is averaging 16.3 points per game.The difference?“Just focus,” Rivard said. “I work on it everyday in practice. It’s got to fall some day, you know?”Rivard has also been putting up more attempts from beyond the arc in recent contests: In his four most recent matchups, Rivard is averaging 7.75 three-point attempts compared to 5.88 through the Crimson’s first nine games.But according to Rivard, he has not made a conscious effort to increase his shot total.“I haven’t tried harder; I’ve just been running the offense,” Rivard said. “Guys are doing a great job of finding me.”FRESH FACESTwo Harvard players dressed for their first game in a Crimson uniform on Saturday.
",Sports,"NOTEBOOK: Rivard Continues Hot Shooting in Victory Over Rice |
    
        Sports |
    
    The Harvard Crimson","/article/2013/1/6/notebook-mens-basketball-rice/
"
"
Going into this week, the Harvard women's basketball team needed a spark. The Crimson was looking to bounce back from its first three-game losing streak of the season as Ivy League play loomed on the horizon.With a familiar shooting ace at the helm, Harvard (9-5) found its way back into the win column as it closed out its nonconference slate. Junior Christine Clark led all scorers in Crimson wins over UMass, 85-59, and Rhode Island, 63-56, as she became the 18th women's basketball player in Harvard history to reach 1,000 career points. On Monday, the junior guard received her fifth career Ivy League Player of the Week nod.Clark arrived at the milestone in an anticlimactic yet fitting fashion Wednesday night at Lavietes Pavillion, sinking two free throws early in the second half to put the Crimson up 21 on UMass. The Tucson, Ariz. native has reached the charity stripe more often than any other Harvard player this season and ranks fifth in the Crimson record book for career free throws made.""I don't think that she had any idea [as a recruit] that she was going to score a thousand points, but we're not one bit surprised because she can score in so many different ways,"" Crimson coach Delaney-Smith said."" We can post her up, she's a great offensive rebounder, she can shoot the three, and she can go to the basket, so she's really multi-dimensional in her attack. She's an impact player. ""Clark is the fastest Crimson player to reach 1,000 points since Reka Cserny in 2004 and joins senior Victoria Lippert as the only active players on the squad to have passed the milestone. Lippert reached a new milestone of her own Wednesday, scoring 17 points to crack the top ten of Harvard's all-time career scoring list.
""I'm just so honored to be a part of that group,"" Clark said. ""It just makes me feel good about all the hard work that I've put in over the years.""Delaney-Smith can vouch for Clark's hard work.""There isn't a better competitor in the world…. She'll go through a wall to have you win,"" Delaney-Smith said of the player known as ""Clarky"" to teammates and coaches. ""She puts in a lot of extra time to do film work and to keep getting better.""Clark started every game her freshman season after choosing Harvard over traditional top programs DuPaul, Kansas State and Arizona State. Delaney-Smith has seen Clark improve on the court throughout her years in Cambridge.""She's getting better at shooting the three,"" Delaney-Smith said. ""She has a nice midrange game. When she was younger, she would go all the way in. Now, she's developed a beautiful, midrange, very athletic pull-up.""At Rhode Island, Clark recorded a game-high 21 points and shot 8-of-14 from the field. She scored nine of Harvard's last 16 points to help the Crimson put the brakes on a comeback bid from the Rams late in the second half.""I think it was a great win to pull out [Sunday],"" said Clark, who leads all Harvard scorers this season with 16.6 points per game. ""I don't think we really played our best game, but I think it does show a lot that we were able to pull out the win even with a lot of areas to improve in. We have so much potential, and I'm really excited for conference play.""The achievement of team-based milestones is now at the top of Clark's to-do list.""I want to win an Ivy League championship more than anything,"" Clark said, ""and I would want to win some games in the NCAA tournament.""Meanwhile, Delaney-Smith hopes that Clark can perfect her passing game and cut down on turnovers. Clark's role as one of the Crimson's primary ball handlers has tested her playmaking abilities.With Clark's work ethic, though, encouraging her to put in the hours shouldn't be much of a problem.""Any coach,"" Delaney-Smith said, ""would love to coach a kid like Clarky.""--Staff writer Michael D. Ledecky can be reached at mledecky@college.harvard.edu
",Sports,"Christine Clark Scores 40 in Back-to-Back Wins |
    
        Sports |
    
    The Harvard Crimson","/article/2013/1/7/christine-clark-aotw-harvard-womens-basketbal/
"
"
Harvard’s football season may be long over, but the awards keep coming for quarterback Colton Chapple. The senior was named the recipient of the 2012 CFPA Quarterback Award, an honor given annually to the nation’s top FCS quarterback.
<a name=""jump"">Chapple has racked up the accolades this offseason after his record-breaking senior year. Earlier this month, Chapple was named the recipient of the 74th George “Bulger” Lowe Award, presented by the Gridiron Club of Greater Boston as New England’s “Heisman Trophy.” In December, the senior was presented with the Asa S. Bushnell Cup as the Ivy League Offensive Player of the Year. Chapple also nabbed the Division I FCS Gold Helmet after being named the New England Player of the Year by the New England Football Writers’ Association.
Chapple finished the year with the country's second best passer rating. The senior registered a school-record 24 touchdown passes for the year. He completed 194 passes on 294 attempts, good for a career best .660 completion percentage.
In the Crimson’s loss to Princeton this season, Chapple set a school single-game record with 448 yards on 31-of-45 passing.  His five touchdowns against the Tigers tied a career best.
Chapple has firmly cemented himself in the Harvard record books alongside the best Crimson quarterbacks of all time. Chapple is tied for second all-time with 39 career passing touchdowns alongside current Buffalo Bills quarterback Ryan Fitzpatrick ’05.  His .622 career completion percentage stands as the second best mark in Harvard history.
",Sports,Chapple Adds to Trophy Case,"/blog/the-back-page/article/2013/1/7/Colton-Chapple-cfpa-harvard-football/
"
"
Christine Clark’s passing 1000-point milestone and impressive play won the junior guard on the women’s basketball team the first Athlete of the Week honors of the new year, but several other athletes rang in 2013 with their own stellar performances, earning them recognition by The Back Page.
 
Jonah Travis, Men’s Basketball
 
Two days after notching nine points to help his team pull off an upset against Cal, the sophomore forward doubled his scoring average on the season against St. Mary’s, netting 19 points on 8-of-10 shooting to tie his career high. Although Harvard would drop the game, 70-69, after holding the upper hand for all but the final second, Travis’s performance helped the Crimson extend its lead to as large as 18 in the first half. The Minnesota native also tallied 10 points and four rebounds in Harvard’s rout of Rice, 92-62.
<a name=""jump"">
Siyani Chambers, Men’s Basketball
 
The freshman ball-handler recorded 19 points in the heartbreaker against the Gaels, including a perfect 5-5 from behind the arc. Chambers outscored St. Mary’s point guard Matthew Dellavedova, a member of the 2012 Australian Olympic team, by 15 points as the Crimson defense effectively shut him down for much of the evening. The rookie guard also posted a double-double against the Owls, tallying 14 points and 10 dimes on the night.
Victoria Lippert, Women’s Basketball
 
A clutch trey from Lippert put Harvard ahead of Rhode Island, 52-49, near the end of a hotly contested game. Crucial free throws by the senior guard and teammate Clark sealed the win for the Crimson, 63-56. With her 11-point performance, the San Diego native surpassed Emily Tay in the record books to move into 10th place for career points with 1,274 points. The veteran also helped her team blow past UMass, 85-59, on the second day of the new year, netting 17 points and tying her career-high of five assists.
Jillian Dempsey, Women’s Hockey
 
The senior co-captain led her team to an unblemished start to 2013 with victories over Union and Rensselaer, both on unfriendly ice. The trip to New York began with Dempsey matching her career-high of five points against the Dutchwomen, scoring twice and tallying three assists as Harvard bested Union, 9-0, marking its biggest margin of victory of the season. The forward added another assist against the Engineers, allowing junior forward Kalley Armstrong to one-time the puck past the RPI goaltender in a 2-1 victory.
Kelley Romatoski, Women’s Hockey
 
With the game against the Engineers tied at one apiece in the third period, the RPI goalie blocked a shot attempt, but before she could corral the puck to survive the Engineers’ penalty kill, sophomore forward Samantha Reber sent it up the ice to Romatoski. The senior slapped it past the goaltender into the back left of the net, giving the Crimson a 2-1 lead that it would not relinquish. The game-winner was the Romatoski’s fifth goal of the season. The defender also netted a goal and an assist against Union the previous night.
",Sports,"Chambers, Travis Runners-Up for Athlete of the Week Honor","/blog/the-back-page/article/2013/1/7/harvard-aotw-runners-up/
"
"
After his team blew an 18-point lead to St. Mary’s less than a week ago, men’s basketball coach Tommy Amaker probably wasn’t counting his chickens, even heading into halftime with a 43-21 lead over Rice at Lavietes on Saturday night.
But when the final buzzer sounded and the scoreboard showed a 92-62 advantage for the home team, the Virginia native notched something that had just slipped from his grasp on New Year’s eve: his 100th career win as a Harvard coach, a record reached only by three other Crimson leaders.
<a name=""jump"">Junior co-captain Laurent Rivard and sophomore guard Wesley Saunders both tallied 21 points on the night to help lift the Crimson to victory, while freshman point guard Siyani Chambers turned in a double-double performance to contribute as well.
The milestone isn’t the only one that the former Michigan coach has accomplished in Cambridge since his start in 2007, however. In just Amaker’s second season coaching in the Ivy League, the Crimson, led by then-junior guard Jeremy Lin’s 27-point performance, <a href=""http://www.thecrimson.com/article/2009/1/7/mens-basketball-stuns-no-17-boston/"">upset No. 17 Boston College, a team that had just recently upset No. 1 UNC. The win was the first in Harvard’s history over a ranked opponent.
A year later, Amaker led the squad to a school record 21 wins, a record which he surpassed in the 2010-11 and 2011-12 seasons with 23 and 26 victories, respectively.
Last season, a key win by Princeton over Penn helped <a href=""http://www.thecrimson.com/article/2012/3/7/mbk-tournament-030612/"">the Crimson earn the automatic Ivy League berth to March Madness, its first trip to the NCAA tournament since 1946, marking a near-complete turnaround during his tenure. From an 8-22 record in his first season to a 26-4 record in the 2011-12 season, the former Duke star turned a league bottom-feeder into an Ancient Eight champion.
Harvard travels to Hanover next week to begin Ivy play against Dartmouth as Amaker inches closer to all-time record of 178 wins, held by Frank Sullivan.
",Sports,Tommy Amaker Adds Another Milestone to Impressive Resume,"/blog/the-back-page/article/2013/1/7/harvard-basketball-amaker-100-win/
"
"
The Harvard men’s hockey team’s midseason slide hit another low point Saturday night, as the Crimson dropped a 6-2 decision at No. 5/9 Quinnipiac that leaves it winless in its last six games.The Bobcats (16-3-2, 10-0-0 ECAC) scored two goals in the first ten minutes and never looked back, as Harvard (4-7-1, 3-5-0) junior goaltender Raphael Girard allowed five goals for the third time in four contests.“It was a tough game,” senior forward Alex Fallstrom said. “[But] I don’t really think the result reflects the game itself. I think it was a lot closer.”Playing without leading scorer Jimmy Vesey—who was in Ufa, Russia helping the United States win gold at the IIHF World Junior Championships—the Crimson struggled to get anything going offensively, especially on the power-play, as it managed just one goal on its eight man-up opportunities against the ECAC’s best penalty kill.At the other end, Girard made just 12 saves in 17 attempts before being pulled midway through the second period in favor of freshman Peter Traber, who for the second time in three games was forced to fill in for the junior who last year was dominant down the stretch in sparking the Crimson’s run to the ECAC Championship Game.
It was in a February contest against the Bobcats last season that Crimson coach Ted Donato ’91 called on Girard to replace a struggling Steve Michalek in net.Girard saved all 26 shots fired at him that night to energize a Harvard comeback win. From there the junior was on his way to the ECAC Goaltender of the Month award and owned the nation’s fourth-best save percentage by the end of the year.Eleven months later, it was another game against Quinnipiac that could force a struggling Girard back into a platoon.“I’d put the loss more on me than on my teammates,” the goalie said. “I need to step up my game.”The Bobcats got on the board early and often Saturday night in front of a sellout crowd at the TD Bank Sports Center to extend their unbeaten streak to 14 games.Bryce Van Brabant scored just 1:51 into the match with a shot over Girard’s shoulder from the left faceoff circle, and minutes later Travis St. Denis put home a one-timer off a two-on-one to extend Quinnipiac’s lead to 2-0.Senior forward Luke Greiner cut the Bobcats’ lead in half later in the period. Classmate Marshall Everson emerged from a four-player scrum behind the net and pushed the puck to Greiner, who fired a one-timer past Eric Hartzell for the score.But coming out of the first intermission, the Bobcats tallied three goals in the period’s first nine minutes to extend their lead to 5-1 and send Girard to the bench.Matthew Peca scored first, putting a rebound away over the goalie’s shoulder on a power-play following a tripping-the-goalie penalty on freshman Brayden Jaw.Just over two minutes later, Fallstrom scored a backhanded goal but was called for interference, negating the score and giving Quinnipiac another man-up chance. The Bobcats took full advantage when Loren Barron beat Girard to make it 4-1.
",Sports,"Loss at No. 5/9 Quinnipiac Extends Men&#39;s Hockey&#39;s Winless Streak |
    
        Sports |
    
    The Harvard Crimson","/article/2013/1/7/harvard-mens-hockey-quinnipiac-girard/
"
"
After cruising through the first half without ever giving up its lead, the Harvard women’s basketball team found itself battling for its second consecutive win in a contentious second period.Tied at 49 with four minutes to play, a three pointer by senior forward Victoria Lippert sparked a 14-7 run to close out the game and hand Harvard (9-5) its last non-conference win over Rhode Island (5-10), 63-56.“We were kind of taken aback that it became such a close game,” said co-captain and forward Emma Golen, who knocked down back-to-back treys in the opening minutes of the game. “At the end we finally dug in and realized the power was in our hands.”The Crimson held a five-point lead coming into the second period, but the Rams came out firing, tying up the game in just over a minute. Over the next 15 minutes, Harvard fought to stay in the game, tying up the score three more times before taking the lead at the sixteen-minute mark.“We just didn’t flow as well offensively,” Golen said of the second half. “There was no connection on the floor and our energy was lacking. We just weren’t playing team Harvard basketball, which was a little disappointing.”
Junior guard Christine Clark led the way down the stretch, adding seven of her game-high 21 points in the final four minutes. Clark shot 8-14 from the field, and tallied four points from the charity stripe. Back-to-back free throws by Lippert with four seconds on the clock iced the hard-won victory for the Crimson.“I thought we were a better team, and we wanted to keep the game at a higher level,” Harvard coach Kathy Delaney-Smith said. “I thought we had just inexplicable defensive errors, and it wasn’t just one person. It was a snowball effect of not being on the same page as a team.""The Crimson opened the matchup in a dominant fashion, jumping out to a ten-point lead five minutes in and holding the Rams to just one score, a jump shot by leading scorer Brianna Thomas. The freshman guard tallied 15 points and was spelled by sophomore guard Megan Strauman, who added 10 points.With Harvard up by eight points in the final minutes of the half, Rhode Island crawled within five, driving to the basket and making three consecutive layups without a Harvard score after the Crimson committed turnovers on the two punctuating possessions. Turnovers continue to plague the Crimson down the stretch, handing the Rams 17 points to Harvard’s nine.Sophomore forward Temi Fagbenle—who added nine points for the Crimson—helped spell the defensive lapses with strong post play. Fagbenle led the team for the fifth straight game with 10 rebounds—including nine on defense—against a physical Rams squad.“Unfortunately [Fagbenle] didn’t get the calls going her way,” Delaney-Smith said. “For a young kid that’s a frustrating situation, and that’s not going to be unusual for her. Regardless of how the calls go she just has to understand how valuable she is to this game.”Senior Elle Hagedorn was crucial to the defensive effort off the bench, adding four rebounds and three steals. The guard—who averages 2.3 points per game in 17 minutes of play—led the team with a season-high four assists and matched her season-high eight points, shooting 2-2 and knocking down four free throws in 29 minutes of play.“[Hagedorn is] a defensive stopper and a sparkplug off the bench,” Delaney-Smith said. “She can beat anybody off the drive, and she took it to the hole really well tonight. I think she defaults to some of our statistical leaders when there are times that we would like her to be a scorer as well.""Five of Hagedorn’s eight points came late in the second half. Down by four with eight minutes to play, she hit a layup to bring Harvard within two. After Clark hit two free throws, Hagedorn drove to the basket a second time, drawing the foul and completing the three-point play from the stripe to put the Crimson on top.In its victory, Harvard outshot the Rams across the board, capitalizing on its three-point prowess to make up for its 68.2 free throw percentage, which dipped below its 75.5 season mark. The Crimson made more than half of its shots from the perimeter for the fifth time this season, and its 41.7 season record is good for third in the NCAA.Harvard’s win moved the team to 9-5 on the season entering Ivy League play and marked the Rams’ fourth consecutive loss.--Staff writer Hope Schwartz can be reached at hschwartz@college.harvard.edu
",Sports,"Women&#39;s Basketball Edges Rhode Island, 63-56 |
    
        Sports |
    
    The Harvard Crimson","/article/2013/1/7/harvard-womens-basketball-rhodeisland/
"
